The testimony of Iris contradicts the evidence of Larry's Sketch. Iris testified that Mystic Elise struck Mystic Maya with her staff, but Larry's Sketch shows a silhouette gliding over the bridge, suggesting that Iris may have been the one who committed the crime.

{"character": 6, "testimony": 1}
The testimony of Iris contradicts the evidence of Larry's Sketch. Iris testified that Mystic Maya stabbed Mystic Elise, but Larry's Sketch shows a silhouette gliding over the bridge, suggesting that Iris may have been the one who committed the crime.

{"character": 6, "testimony": 3}
The testimony of Iris contradicts the evidence of Weather Data. Iris testified that the snow had already stopped by the time the murder took place, but the Weather Data shows that it was still snowing with occasional lightning strikes at 10:50 PM.

{"character": 6, "testimony": 6}
The testimony of Iris contradicts the evidence of Weather Data. Iris testified that the snow was still falling or had stopped, but the Weather Data shows that it was still snowing with occasional lightning strikes at 10:50 PM.

{"character": 6, "testimony": 2}
The testimony of Dahlia Hawthorne contradicts the evidence of Iris's Testimony. Dahlia testified that she was the one who killed Maya Fey, but Iris testified that she rang the lights out bell at 10 PM and was then in her room until the murder was discovered.

{"character": 13, "testimony": 2}
The testimony of Maya Fey contradicts the evidence of Iris's Testimony. Maya testified that she was passing through the garden on the way to a spare prep room when she was attacked, but Iris testified that she rang the lights out bell at 10 PM and was then in her room until the murder was discovered.

{"character": 0, "testimony": 0}
The testimony of Maya Fey contradicts the evidence of Iris's Testimony. Maya testified that she assumed the person who cleaned up the evidence was a man, but Iris testified that she rang the lights out bell at 10 PM and was then in her room until the murder was discovered.

{"character": 0, "testimony": 5}
The testimony of Maya Fey contradicts the evidence of Iris's Testimony. Maya testified that Pearl was also stuck on the Inner Temple side that night, but Iris testified that she rang the lights out bell at 10 PM and was then in her room until the murder was discovered.

{"character": 0, "testimony": 0}
